category,variable,seriesId,seriesName,multiplier,notes1,notes2
,Secondary Energy|Petroleum Refining|Input|Oil,cnsm_NA_idal_ref_pet_NA_NA_trlbtu,Refining Industry : Refinery Only Energy : Use : Petroleum Subtotal,1,,
,Secondary Energy|Petroleum Refining|Input|Electricity,cnsm_NA_idal_ref_prc_NA_NA_trlbtu,Refining Industry : Refinery Only Energy : Use : Purchased Electricity,1,,
,Secondary Energy|Petroleum Refining|Input|Coal,cnsm_NA_idal_ref_stc_NA_NA_trlbtu,Refining Industry : Refinery Only Energy : Use : Steam Coal,1,,
,Secondary Energy|Petroleum Refining|Input,cnsm_NA_idal_ref_tot_NA_NA_trlbtu,Refining Industry : Refinery Only Energy : Use : Total,1,,
,Primary Energy|Biomass,cnsm_use_ten_NA_bms_NA_usa_qbtu,Total Energy : Use : Biomass,1,,
,Primary Energy|Oil,cnsm_use_ten_NA_lfl_NA_usa_qbtu,Total Energy : Use : Liquid Fuels,1,,
,GDP|Consumption,eci_NA_NA_NA_gdp_rcnsp_NA_blny09dlr,Macroeconomic Indicators : GDP Components : Real Consumption,1,,
,GDP|MER,eci_NA_NA_NA_gdp_real_NA_blny09dlr,Macroeconomic Indicators : Real Gross Domestic Product,1,,
,GDP|Exports,eci_NA_NA_NA_gdp_rexp_NA_blny09dlr,Macroeconomic Indicators : GDP Components : Real Exports,1,,
,GDP|Government,eci_NA_NA_NA_gdp_rgsp_NA_blny09dlr,Macroeconomic Indicators : GDP Components : Real Government Spending,1,,
,GDP|Imports,eci_NA_NA_NA_gdp_rimp_NA_blny09dlr,Macroeconomic Indicators : GDP Components : Real Imports,1,,
,GDP|Investment,eci_NA_NA_NA_gdp_rinv_NA_blny09dlr,Macroeconomic Indicators : GDP Components : Real Business Fixed Investment,1,,
,Emissions|CO2|Energy|Demand|Buildings|Indirect,emi_co2_comm_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Commercial : Electricity, United States",1,add commercial and residential indirect emissions,
,Emissions|CO2|Energy|Demand|Buildings|Commercial|Indirect,emi_co2_comm_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Commercial : Electricity, United States",1,,
,Emissions|CO2|Energy|Demand|Buildings,emi_co2_comm_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Commercial : Electricity, United States",-1,subtract out com and res indirect emissions,
,Emissions|CO2|Energy|Demand|Buildings|Commercial,emi_co2_comm_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Commercial : Electricity, United States",-1,subtract out com indirect emissions,
,Emissions|CO2|Energy|Demand|Buildings,emi_co2_comm_NA_NA_NA_NA_millmetnco2,Carbon Dioxide : Commercial,1,,
,Emissions|CO2|Energy|Demand|Buildings|Commercial,emi_co2_comm_NA_NA_NA_NA_millmetnco2,Carbon Dioxide : Commercial,1,,
,Emissions|CO2|Energy|Supply|Electricity|Coal,emi_co2_elep_NA_cl_NA_NA_millmetnco2,"Carbon Dioxide : Electric Power : Coal, United States",1,,
,Emissions|CO2|Energy|Supply|Electricity,emi_co2_elep_NA_NA_NA_NA_millmetnco2,"Carbon Dioxide : Electric Power : Total, United States",1,,
,Emissions|CO2|Energy|Supply|Electricity|Gas,emi_co2_elep_NA_ng_NA_NA_millmetnco2,"Carbon Dioxide : Electric Power : Natural Gas, United States",1,,
,,emi_co2_elep_NA_oth_NA_NA_millmetnco2,"Carbon Dioxide : Electric Power : Other, United States",1,not in template,Emissions|CO2|Energy|Electricity|Other
,Emissions|CO2|Energy|Supply|Electricity|Oil,emi_co2_elep_NA_pet_NA_NA_millmetnco2,"Carbon Dioxide : Electric Power : Petroleum, United States",1,,
,Emissions|CO2|Energy|Demand|Industry|Indirect,emi_co2_idal_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Industrial : Electricity, United States, Reference, AEO2022",1,,
,Emissions|CO2|Energy|Demand|Industry,emi_co2_idal_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Industrial : Electricity, United States, Reference, AEO2022",-1,subtract out ind indirect emissions,
,Emissions|CO2|Energy|Demand|Industry,emi_co2_idal_NA_NA_NA_NA_millmetnco2,Carbon Dioxide : Industrial,1,,
,Emissions|CO2|Energy|Supply|Petroleum Refining,emi_co2_idal_refliq_NA_NA_NA_metnco2,"Refining Industry : Carbon Dioxide Emissions, Reference, AEO2022",1,,
,Emissions|CO2|Energy|Demand|Industry,emi_co2_idal_refliq_NA_NA_NA_metnco2,"Refining Industry : Carbon Dioxide Emissions, Reference, AEO2022",-1,subtract out refinery emissions,
,Emissions|CO2|Energy|Demand|Buildings|Indirect,emi_co2_resd_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Residential : Electricity, United States",1,add commercial and residential indirect emissions,
,Emissions|CO2|Energy|Demand|Buildings|Residential|Indirect,emi_co2_resd_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Residential : Electricity, United States",1,,
,Emissions|CO2|Energy|Demand|Buildings,emi_co2_resd_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Residential : Electricity, United States",-1,subtract out com and res indirect emissions,
,Emissions|CO2|Energy|Demand|Buildings|Residential,emi_co2_resd_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Residential : Electricity, United States",-1,subtract out res indirect emissions,
,Emissions|CO2|Energy|Demand|Buildings,emi_co2_resd_NA_NA_NA_NA_millmetnco2,Carbon Dioxide : Residential,1,,
,Emissions|CO2|Energy|Demand|Buildings|Residential,emi_co2_resd_NA_NA_NA_NA_millmetnco2,Carbon Dioxide : Residential,1,,
,Emissions|CO2|Energy|Coal,emi_co2_ten_NA_cl_NA_NA_millmetnco2,"Carbon Dioxide : Total by Fuel : Coal, United States",1,,
,Emissions|CO2|Energy,emi_co2_ten_NA_NA_NA_NA_millmetnco2,"Carbon Dioxide : Total by Fuel : Total, United States",1,,
,Emissions|CO2|Energy|Gas,emi_co2_ten_NA_ng_NA_NA_millmetnco2,"Carbon Dioxide : Total by Fuel : Natural Gas, United States",1,,
,,emi_co2_ten_NA_oth_NA_NA_millmetnco2,"Carbon Dioxide : Total by Fuel : Other, United States",1,not in template,Emissions|CO2|Energy|Other
,Emissions|CO2|Energy|Oil,emi_co2_ten_NA_pet_NA_NA_millmetnco2,"Carbon Dioxide : Total by Fuel : Petroleum, United States",1,,
,Emissions|CO2|Energy|Demand|Transportation|Indirect,emi_co2_trn_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Transportation : Electricity, United States, Reference, AEO2022",1,,
,Emissions|CO2|Energy|Demand|Transportation,emi_co2_trn_NA_elc_NA_NA_millmetnco2,"Carbon Dioxide : Transportation : Electricity, United States, Reference, AEO2022",-1,subtract out trn indirect emissions,
,Emissions|CO2|Energy|Demand|Transportation,emi_co2_trn_NA_NA_NA_NA_millmetnco2,Carbon Dioxide : Transportation,1,,
,Primary Energy|Geothermal,gen_NA_alls_NA_geothm_NA_NA_blnkwh,Renewable Energy : All Sectors : Generation : Geothermal,1,not in template anymore,Primary Energy|Gas|Electricity
,Secondary Energy|Electricity|Biomass,gen_NA_elep_NA_bgm_NA_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Biogenic Municipal Waste,1,,
,Secondary Energy|Electricity|Biomass,gen_NA_elep_NA_cfr_NA_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Biomass : Cofiring,1,,
,,gen_NA_elep_NA_cl_NA_NA_blnkwh,"Electricity : Electric Power Sector : Generation : Coal, United States",1,,
,Secondary Energy|Electricity|Biomass,gen_NA_elep_NA_dpe_NA_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Biomass : Dedicated Plants,1,,
,Secondary Energy|Electricity|Geothermal,gen_NA_elep_NA_geothm_NA_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Geothermal,1,,
,Secondary Energy|Electricity|Hydro,gen_NA_elep_NA_hyd_cnv_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Hydropower,1,,
,,gen_NA_elep_NA_ng_NA_NA_blnkwh,"Electricity : Electric Power Sector : Generation : Natural Gas, United States",1,,
,,gen_NA_elep_NA_nuc_NA_NA_blnkwh,"Electricity : Electric Power Sector : Generation : Nuclear, United States",1,add to EMF template?,Primary Energy|Nuclear|Electricity
,,gen_NA_elep_NA_pet_NA_NA_blnkwh,"Electricity : Electric Power Sector : Generation : Petroleum, United States",1,not in template anymore,Primary Energy|Oil|Electricity
,Secondary Energy|Electricity|Solar,gen_NA_elep_NA_slr_phtvl_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Solar Photovoltaic,1,,
,Secondary Energy|Electricity|Solar|PV,gen_NA_elep_NA_slr_phtvl_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Solar Photovoltaic,1,,
,Secondary Energy|Electricity|Solar,gen_NA_elep_NA_slr_therm_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Solar Thermal,1,,
,Secondary Energy|Electricity|Solar|CSP,gen_NA_elep_NA_slr_therm_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Solar Thermal,1,,
,Secondary Energy|Electricity,gen_NA_elep_NA_teg_NA_usa_blnkwh,Electricity : Total Electricity Generation,1,,
,Secondary Energy|Electricity|Biomass,gen_NA_elep_NA_wbm_NA_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Wood and Other Biomass,1,,
,Secondary Energy|Electricity|Wind,gen_NA_elep_NA_wnd_NA_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Wind,1,,
,Secondary Energy|Electricity|Wind|Onshore,gen_NA_elep_NA_wnd_NA_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Wind,1,,
,Secondary Energy|Electricity|Wind|Offshore,gen_NA_elep_NA_wnd_ofs_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Offshore Wind,1,,
,Secondary Energy|Electricity|Wind|Onshore,gen_NA_elep_NA_wnd_ofs_NA_blnkwh,Renewable Energy : Electric Power Sector : Generation : Offshore Wind,-1,,
,Secondary Energy|Electricity|Coal,gen_NA_elep_tge_cl_NA_usa_blnkwh,Electricity : Total Electricity Generation by Fuel : Coal,1,,
,Secondary Energy|Electricity|Gas,gen_NA_elep_tge_ng_NA_usa_blnkwh,Electricity : Total Electricity Generation by Fuel : Natural Gas,1,,
,Secondary Energy|Electricity|Nuclear,gen_NA_elep_tge_nup_NA_usa_blnkwh,Electricity : Total Electricity Generation by Fuel : Nuclear,1,,
,,gen_NA_elep_tge_oth_NA_usa_blnkwh,Electricity : Total Electricity Generation by Fuel : Other,1,not in EMF37 template,Secondary Energy|Electricity|Other
,Secondary Energy|Electricity|Oil,gen_NA_elep_tge_pet_NA_usa_blnkwh,Electricity : Total Electricity Generation by Fuel : Petroleum,1,,
