category,variable,seriesId,seriesName,multiplier,notes1,notes2
macro,,eci_vos_idal_NA_NA_NA_NA_blny09dlr,Macroeconomic Indicators : Value of Shipments : Total Industrial,,,
macro,,iny_NA_NA_NA_dele_NA_NA_thbtupdlrgdp,Macroeconomic Indicators : Energy Intensity : Delivered Energy,,,
macro,,iny_NA_NA_NA_ten_NA_NA_thbtupdlrgdp,Macroeconomic Indicators : Energy Intensity : Total Energy,,,
macro,,eci_tnr10_NA_NA_NA_NA_NA_pcntn,Macroeconomic Indicators : Interest Rates : 10-Year Treasury Note,,,
macro,,eci_aautr_NA_NA_NA_NA_NA_pcntn,Macroeconomic Indicators : Interest Rates : AA Utility Bond Rate,,,
macro,,eci_ffr_NA_NA_NA_NA_NA_pcntn,Macroeconomic Indicators : Interest Rates : Federal Funds Rate,,,
macro,,eci_NA_NA_NA_gdp_real_NA_blny09dlr,Macroeconomic Indicators : Real Gross Domestic Product,,,
macro,,eci_vos_nmfg_NA_NA_NA_NA_blny09dlr,"Macroeconomic Indicators : Value of Shipments : Agriculture, Mining, and Construction",,,
macro,,eci_vos_nind_NA_NA_NA_NA_blny09dlr,Macroeconomic Indicators : Value of Shipments : Non-Industrial,,,
macro,,eci_vos_manf_NA_NA_NA_NA_blny09dlr,Macroeconomic Indicators : Value of Shipments : Manufacturing,,,
macro,,eci_vos_eint_NA_NA_NA_NA_blny09dlr,Macroeconomic Indicators : Value of Shipments : Energy-Intensive,,,
macro,,eci_vos_neint_NA_NA_NA_NA_blny09dlr,Macroeconomic Indicators : Value of Shipments : Non-Energy-Intensive,,,
macro,,eci_vos_NA_NA_NA_NA_NA_blny09dlr,Macroeconomic Indicators : Value of Shipments : Total,,,
macro,,dmg_pop_pwaf_NA_NA_NA_NA_mill,"Macroeconomic Indicators : Population, with Armed Forces Overseas",,,
macro,,dmg_empm_nofm_NA_NA_NA_NA_mill,"Macroeconomic Indicators : Employment, Nonfarm",,,
macro,,dmg_empm_manf_NA_NA_NA_NA_mill,"Macroeconomic Indicators : Employment, Manufacturing",,,
macro,,eci_lbf_NA_NA_NA_NA_NA_mill,Macroeconomic Indicators : Key Labor Indicators : Labor Force,,,
macro,,eci_lp_nofm_NA_NA_NA_NA_y09eq1,Macroeconomic Indicators : Key Labor Indicators : Nonfarm Labor Productivity,,,
macro,,eci_uer_NA_NA_NA_NA_NA_pct,Macroeconomic Indicators : Key Labor Indicators : Unemployment Rate,,,
macro,,eci_pei_NA_NA_NA_NA_NA_blny09dlr,Macroeconomic Indicators : Key Indicators for Energy Use : Real Disposable Personal Income,,,
macro,,eci_hst_NA_NA_NA_NA_NA_mill,Macroeconomic Indicators : Key Indicators for Energy Use : Housing Starts,,,
macro,,eci_flr_comm_NA_NA_NA_NA_blnsqft,Macroeconomic Indicators : Key Indicators for Energy Use : Commercial Floorspace,,,
macro,,kei_sal_trn_ldv_NA_NA_NA_mill,Macroeconomic Indicators : Key Indicators for Energy Use : Unit Sales of Light-Duty Vehicles,,,
