Variable,Series_Name,Series_template,Factor,notes,notes_variable
Secondary Energy|Petroleum Refining|Input|Oil,Refining Industry : Refinery Only Energy : Use : Petroleum Subtotal,cnsm_NA_idal_ref_pet_NA_NA_trlbtu,1,,
Secondary Energy|Petroleum Refining|Input|Electricity,Refining Industry : Refinery Only Energy : Use : Purchased Electricity,cnsm_NA_idal_ref_prc_NA_NA_trlbtu,1,,
Secondary Energy|Petroleum Refining|Input|Coal,Refining Industry : Refinery Only Energy : Use : Steam Coal,cnsm_NA_idal_ref_stc_NA_NA_trlbtu,1,,
Secondary Energy|Petroleum Refining|Input,Refining Industry : Refinery Only Energy : Use : Total,cnsm_NA_idal_ref_tot_NA_NA_trlbtu,1,,
Primary Energy|Biomass,Total Energy : Use : Biomass,cnsm_use_ten_NA_bms_NA_usa_qbtu,1,,
Primary Energy|Oil,Total Energy : Use : Liquid Fuels,cnsm_use_ten_NA_lfl_NA_usa_qbtu,1,,
GDP|Consumption,Macroeconomic Indicators : GDP Components : Real Consumption,eci_NA_NA_NA_gdp_rcnsp_NA_blny09dlr,1,,
GDP|MER,Macroeconomic Indicators : Real Gross Domestic Product,eci_NA_NA_NA_gdp_real_NA_blny09dlr,1,,
GDP|Exports,Macroeconomic Indicators : GDP Components : Real Exports,eci_NA_NA_NA_gdp_rexp_NA_blny09dlr,1,,
GDP|Government,Macroeconomic Indicators : GDP Components : Real Government Spending,eci_NA_NA_NA_gdp_rgsp_NA_blny09dlr,1,,
GDP|Imports,Macroeconomic Indicators : GDP Components : Real Imports,eci_NA_NA_NA_gdp_rimp_NA_blny09dlr,1,,
GDP|Investment,Macroeconomic Indicators : GDP Components : Real Business Fixed Investment,eci_NA_NA_NA_gdp_rinv_NA_blny09dlr,1,,
Emissions|CO2|Energy|Demand|Buildings|Indirect,"Carbon Dioxide : Commercial : Electricity, United States",emi_co2_comm_NA_elc_NA_NA_millmetnco2,1,add commercial and residential indirect emissions,
Emissions|CO2|Energy|Demand|Buildings|Commercial|Indirect,"Carbon Dioxide : Commercial : Electricity, United States",emi_co2_comm_NA_elc_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Demand|Buildings,"Carbon Dioxide : Commercial : Electricity, United States",emi_co2_comm_NA_elc_NA_NA_millmetnco2,-1,subtract out com and res indirect emissions,
Emissions|CO2|Energy|Demand|Buildings|Commercial,"Carbon Dioxide : Commercial : Electricity, United States",emi_co2_comm_NA_elc_NA_NA_millmetnco2,-1,subtract out com indirect emissions,
Emissions|CO2|Energy|Demand|Buildings,Carbon Dioxide : Commercial,emi_co2_comm_NA_NA_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Demand|Buildings|Commercial,Carbon Dioxide : Commercial,emi_co2_comm_NA_NA_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Supply|Electricity|Coal,"Carbon Dioxide : Electric Power : Coal, United States",emi_co2_elep_NA_cl_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Supply|Electricity,"Carbon Dioxide : Electric Power : Total, United States",emi_co2_elep_NA_NA_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Supply|Electricity|Gas,"Carbon Dioxide : Electric Power : Natural Gas, United States",emi_co2_elep_NA_ng_NA_NA_millmetnco2,1,,
,"Carbon Dioxide : Electric Power : Other, United States",emi_co2_elep_NA_oth_NA_NA_millmetnco2,1,not in template,Emissions|CO2|Energy|Electricity|Other
Emissions|CO2|Energy|Supply|Electricity|Oil,"Carbon Dioxide : Electric Power : Petroleum, United States",emi_co2_elep_NA_pet_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Demand|Industry|Indirect,"Carbon Dioxide : Industrial : Electricity, United States, Reference, AEO2022",emi_co2_idal_NA_elc_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Demand|Industry,"Carbon Dioxide : Industrial : Electricity, United States, Reference, AEO2022",emi_co2_idal_NA_elc_NA_NA_millmetnco2,-1,subtract out ind indirect emissions,
Emissions|CO2|Energy|Demand|Industry,Carbon Dioxide : Industrial,emi_co2_idal_NA_NA_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Supply|Petroleum Refining,"Refining Industry : Carbon Dioxide Emissions, Reference, AEO2022",emi_co2_idal_refliq_NA_NA_NA_metnco2,1,,
Emissions|CO2|Energy|Demand|Industry,"Refining Industry : Carbon Dioxide Emissions, Reference, AEO2022",emi_co2_idal_refliq_NA_NA_NA_metnco2,-1,subtract out refinery emissions,
Emissions|CO2|Energy|Demand|Buildings|Indirect,"Carbon Dioxide : Residential : Electricity, United States",emi_co2_resd_NA_elc_NA_NA_millmetnco2,1,add commercial and residential indirect emissions,
Emissions|CO2|Energy|Demand|Buildings|Residential|Indirect,"Carbon Dioxide : Residential : Electricity, United States",emi_co2_resd_NA_elc_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Demand|Buildings,"Carbon Dioxide : Residential : Electricity, United States",emi_co2_resd_NA_elc_NA_NA_millmetnco2,-1,subtract out com and res indirect emissions,
Emissions|CO2|Energy|Demand|Buildings|Residential,"Carbon Dioxide : Residential : Electricity, United States",emi_co2_resd_NA_elc_NA_NA_millmetnco2,-1,subtract out res indirect emissions,
Emissions|CO2|Energy|Demand|Buildings,Carbon Dioxide : Residential,emi_co2_resd_NA_NA_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Demand|Buildings|Residential,Carbon Dioxide : Residential,emi_co2_resd_NA_NA_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Coal,"Carbon Dioxide : Total by Fuel : Coal, United States",emi_co2_ten_NA_cl_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy,"Carbon Dioxide : Total by Fuel : Total, United States",emi_co2_ten_NA_NA_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Gas,"Carbon Dioxide : Total by Fuel : Natural Gas, United States",emi_co2_ten_NA_ng_NA_NA_millmetnco2,1,,
,"Carbon Dioxide : Total by Fuel : Other, United States",emi_co2_ten_NA_oth_NA_NA_millmetnco2,1,not in template,Emissions|CO2|Energy|Other
Emissions|CO2|Energy|Oil,"Carbon Dioxide : Total by Fuel : Petroleum, United States",emi_co2_ten_NA_pet_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Demand|Transportation|Indirect,"Carbon Dioxide : Transportation : Electricity, United States, Reference, AEO2022",emi_co2_trn_NA_elc_NA_NA_millmetnco2,1,,
Emissions|CO2|Energy|Demand|Transportation,"Carbon Dioxide : Transportation : Electricity, United States, Reference, AEO2022",emi_co2_trn_NA_elc_NA_NA_millmetnco2,-1,subtract out trn indirect emissions,
